,Season,Squad,Age,Tkl,TklWon,Blocks,Int,Clr,SCA,PasAss,GCA,GcaDrib,Recov,AerWon,Assists,PPA,CrsPA,TklDri,Goals,SoT,G/Sh,PasProg,Goals Conceded
142,2018/2019,Newcastle Utd,568,709.0,433.0,472.0,506.0,1184.0,779.0,567.0,67.0,4.0,1996.0,770.0,33.0,255.0,99.0,207.0,41.0,136.0,1.63,985.0,48
143,2018/2019,Nice,544,654.0,414.0,409.0,445.0,766.0,788.0,510.0,47.0,4.0,1909.0,499.0,18.0,168.0,43.0,418.0,28.0,121.0,1.0,1527.0,35
144,2018/2019,Paris S-G,573,677.0,417.0,325.0,322.0,503.0,983.0,742.0,178.0,14.0,1947.0,382.0,72.0,456.0,53.0,287.0,103.0,206.0,3.52,2160.0,35
145,2018/2019,Parma,729,579.0,350.0,445.0,396.0,1125.0,596.0,380.0,61.0,7.0,1753.0,548.0,22.0,164.0,45.0,237.0,40.0,105.0,2.17,990.0,61
146,2018/2019,RB Leipzig,452,656.0,398.0,455.0,415.0,705.0,856.0,621.0,101.0,16.0,1932.0,736.0,41.0,323.0,70.0,243.0,63.0,172.0,1.85,1606.0,29
147,2018/2019,Rayo Vallecano,630,645.0,416.0,387.0,428.0,910.0,785.0,531.0,66.0,6.0,1945.0,517.0,23.0,222.0,79.0,311.0,40.0,144.0,1.24,1312.0,70
148,2018/2019,Real Madrid,595,625.0,395.0,374.0,372.0,593.0,1071.0,792.0,103.0,7.0,1935.0,473.0,39.0,385.0,87.0,295.0,61.0,203.0,2.37,2094.0,46
149,2018/2019,Real Sociedad,588,575.0,342.0,442.0,422.0,819.0,748.0,519.0,74.0,5.0,1968.0,682.0,27.0,252.0,89.0,266.0,44.0,133.0,1.74,1379.0,46
150,2018/2019,Reims,524,749.0,447.0,354.0,474.0,824.0,683.0,482.0,69.0,8.0,1951.0,618.0,26.0,219.0,65.0,268.0,39.0,132.0,1.31,1246.0,42
151,2018/2019,Roma,529,523.0,335.0,377.0,402.0,790.0,1081.0,763.0,112.0,8.0,1841.0,713.0,39.0,353.0,111.0,271.0,65.0,210.0,2.69,1618.0,48
152,2018/2019,SPAL,596,577.0,373.0,409.0,387.0,853.0,823.0,600.0,82.0,4.0,1712.0,560.0,30.0,241.0,124.0,216.0,44.0,129.0,1.41,1255.0,56
153,2018/2019,Saint-Étienne,575,661.0,398.0,354.0,436.0,743.0,835.0,576.0,95.0,3.0,1886.0,586.0,40.0,259.0,81.0,254.0,56.0,166.0,3.1,1541.0,41
154,2018/2019,Sampdoria,490,614.0,404.0,400.0,346.0,767.0,815.0,627.0,103.0,7.0,1891.0,435.0,41.0,338.0,73.0,188.0,60.0,163.0,1.21,1636.0,51
155,2018/2019,Sassuolo,536,527.0,327.0,384.0,374.0,815.0,880.0,676.0,79.0,2.0,1830.0,455.0,33.0,257.0,64.0,272.0,50.0,150.0,2.97,1507.0,60
156,2018/2019,Schalke 04,678,626.0,379.0,464.0,415.0,643.0,701.0,439.0,59.0,6.0,1837.0,585.0,23.0,211.0,47.0,252.0,37.0,122.0,1.6099999999999999,1146.0,55
157,2018/2019,Sevilla,628,598.0,408.0,370.0,364.0,807.0,929.0,738.0,110.0,6.0,2001.0,635.0,47.0,392.0,103.0,249.0,60.0,167.0,1.72,1802.0,47
158,2018/2019,Southampton,557,696.0,426.0,530.0,548.0,1100.0,806.0,555.0,76.0,3.0,2011.0,744.0,26.0,257.0,67.0,220.0,44.0,155.0,1.81,1326.0,65
159,2018/2019,Strasbourg,538,636.0,399.0,368.0,419.0,718.0,709.0,514.0,99.0,4.0,1893.0,614.0,43.0,234.0,92.0,228.0,57.0,144.0,2.17,1452.0,48
160,2018/2019,Stuttgart,503,556.0,354.0,412.0,387.0,856.0,707.0,511.0,58.0,4.0,1656.0,702.0,26.0,224.0,102.0,155.0,32.0,113.0,1.59,1114.0,70
161,2018/2019,Torino,518,634.0,392.0,461.0,445.0,822.0,909.0,642.0,86.0,4.0,2138.0,808.0,31.0,309.0,119.0,251.0,50.0,175.0,1.47,1404.0,37
162,2018/2019,Tottenham,584,625.0,373.0,415.0,325.0,808.0,933.0,674.0,114.0,6.0,2067.0,588.0,46.0,363.0,89.0,302.0,66.0,182.0,2.02,1744.0,39
163,2018/2019,Toulouse,529,658.0,412.0,432.0,378.0,909.0,733.0,479.0,55.0,3.0,1980.0,691.0,16.0,217.0,62.0,324.0,35.0,119.0,2.8200000000000003,1447.0,57
164,2018/2019,Udinese,695,651.0,387.0,450.0,381.0,1051.0,814.0,597.0,65.0,5.0,1797.0,676.0,30.0,234.0,77.0,227.0,37.0,119.0,2.2199999999999998,1087.0,53
165,2018/2019,Valencia,546,594.0,383.0,446.0,415.0,844.0,852.0,639.0,92.0,4.0,1983.0,586.0,38.0,325.0,89.0,246.0,50.0,157.0,1.54,1559.0,35
166,2018/2019,Valladolid,590,712.0,439.0,411.0,385.0,869.0,734.0,519.0,52.0,4.0,1919.0,583.0,19.0,193.0,73.0,182.0,31.0,125.0,1.44,1298.0,51
167,2018/2019,Villarreal,536,656.0,408.0,398.0,378.0,826.0,862.0,632.0,77.0,10.0,1837.0,598.0,34.0,294.0,67.0,254.0,47.0,169.0,2.16,1626.0,52
168,2018/2019,Watford,565,648.0,387.0,401.0,425.0,1006.0,723.0,522.0,83.0,15.0,2001.0,748.0,39.0,291.0,55.0,249.0,51.0,148.0,1.97,1288.0,59
169,2018/2019,Werder Bremen,501,546.0,344.0,425.0,403.0,803.0,829.0,634.0,102.0,14.0,1784.0,598.0,38.0,310.0,90.0,193.0,57.0,170.0,2.06,1670.0,49
170,2018/2019,Wolfsburg,461,535.0,340.0,391.0,424.0,767.0,738.0,529.0,97.0,6.0,1746.0,592.0,38.0,268.0,92.0,178.0,59.0,159.0,2.19,1305.0,50
171,2018/2019,Wolves,387,687.0,389.0,464.0,470.0,755.0,807.0,585.0,80.0,4.0,1952.0,765.0,35.0,237.0,73.0,264.0,46.0,144.0,1.34,1272.0,46
172,2019/2020,Alavés,613,565.0,335.0,377.0,379.0,725.0,529.0,326.0,58.0,4.0,1714.0,888.0,20.0,170.0,56.0,241.0,34.0,98.0,2.31,936.0,59
173,2019/2020,Amiens,618,421.0,236.0,273.0,298.0,588.0,401.0,280.0,50.0,4.0,1498.0,460.0,20.0,127.0,41.0,165.0,30.0,77.0,3.8200000000000003,1007.0,50
174,2019/2020,Angers,520,413.0,264.0,219.0,252.0,473.0,601.0,434.0,46.0,3.0,1404.0,430.0,20.0,185.0,62.0,180.0,27.0,113.0,1.86,1044.0,33
175,2019/2020,Arsenal,616,581.0,334.0,398.0,349.0,732.0,709.0,501.0,85.0,4.0,1806.0,489.0,35.0,311.0,63.0,285.0,56.0,146.0,3.13,1634.0,48
176,2019/2020,Aston Villa,573,519.0,289.0,455.0,423.0,912.0,824.0,596.0,72.0,5.0,1877.0,694.0,32.0,270.0,95.0,217.0,40.0,147.0,1.59,1245.0,67
177,2019/2020,Atalanta,546,608.0,340.0,385.0,403.0,499.0,1213.0,913.0,165.0,10.0,2014.0,606.0,68.0,436.0,97.0,264.0,96.0,256.0,2.58,1833.0,48
178,2019/2020,Athletic Club,634,533.0,324.0,338.0,372.0,745.0,683.0,464.0,65.0,3.0,1885.0,902.0,23.0,217.0,85.0,249.0,40.0,126.0,1.48,1291.0,38
179,2019/2020,Atlético Madrid,550,639.0,394.0,370.0,396.0,713.0,771.0,531.0,85.0,11.0,1884.0,810.0,34.0,278.0,43.0,191.0,50.0,136.0,1.38,1314.0,27
180,2019/2020,Augsburg,609,498.0,294.0,343.0,394.0,653.0,579.0,376.0,65.0,7.0,1597.0,509.0,27.0,164.0,52.0,236.0,45.0,129.0,2.41,774.0,63
181,2019/2020,Barcelona,563,520.0,315.0,309.0,317.0,473.0,890.0,667.0,146.0,10.0,1735.0,418.0,61.0,414.0,31.0,266.0,84.0,213.0,3.59,1977.0,38
182,2019/2020,Bayern Munich,519,496.0,290.0,289.0,341.0,364.0,1100.0,854.0,176.0,11.0,1929.0,469.0,75.0,491.0,115.0,259.0,97.0,243.0,2.2800000000000002,2286.0,32
183,2019/2020,Betis,612,499.0,298.0,334.0,300.0,664.0,832.0,606.0,75.0,6.0,1639.0,572.0,35.0,321.0,84.0,267.0,48.0,152.0,1.6,1474.0,60
184,2019/2020,Bologna,582,557.0,325.0,383.0,394.0,623.0,942.0,705.0,85.0,10.0,1800.0,617.0,31.0,281.0,59.0,259.0,48.0,160.0,1.7600000000000002,1601.0,65
185,2019/2020,Bordeaux,521,462.0,272.0,232.0,283.0,549.0,522.0,351.0,63.0,7.0,1472.0,474.0,28.0,110.0,31.0,230.0,40.0,106.0,2.29,963.0,34
186,2019/2020,Bournemouth,572,500.0,293.0,437.0,474.0,976.0,662.0,467.0,62.0,7.0,1943.0,780.0,23.0,224.0,47.0,276.0,38.0,117.0,1.4300000000000002,1252.0,65
187,2019/2020,Brest,537,482.0,281.0,261.0,348.0,523.0,571.0,441.0,59.0,1.0,1425.0,395.0,27.0,211.0,70.0,155.0,32.0,97.0,2.0,1136.0,37
188,2019/2020,Brighton,581,639.0,378.0,436.0,417.0,737.0,797.0,592.0,63.0,5.0,2042.0,680.0,24.0,292.0,61.0,248.0,35.0,139.0,2.1799999999999997,1670.0,54
189,2019/2020,Burnley,530,544.0,342.0,450.0,383.0,886.0,654.0,453.0,71.0,4.0,1817.0,917.0,30.0,216.0,99.0,208.0,41.0,124.0,1.17,890.0,50
190,2019/2020,Cagliari,686,557.0,335.0,442.0,327.0,829.0,758.0,565.0,82.0,3.0,1782.0,502.0,34.0,242.0,85.0,214.0,50.0,136.0,2.44,1275.0,56
191,2019/2020,Celta Vigo,575,573.0,347.0,336.0,384.0,767.0,649.0,468.0,67.0,8.0,1844.0,630.0,26.0,250.0,59.0,238.0,37.0,131.0,2.26,1345.0,49
192,2019/2020,Chelsea,555,635.0,359.0,361.0,458.0,621.0,1119.0,845.0,123.0,10.0,2172.0,696.0,46.0,410.0,108.0,257.0,69.0,210.0,1.7200000000000002,1895.0,54
193,2019/2020,Crystal Palace,531,673.0,382.0,385.0,421.0,785.0,627.0,413.0,52.0,4.0,1824.0,738.0,20.0,238.0,45.0,263.0,29.0,115.0,1.37,1183.0,50
194,2019/2020,Dijon,612,499.0,298.0,269.0,320.0,551.0,567.0,380.0,43.0,3.0,1435.0,521.0,17.0,172.0,50.0,227.0,26.0,100.0,1.1,881.0,37
195,2019/2020,Dortmund,542,525.0,326.0,351.0,369.0,447.0,792.0,596.0,154.0,13.0,1830.0,359.0,73.0,308.0,41.0,278.0,84.0,188.0,3.5700000000000003,1728.0,41
196,2019/2020,Düsseldorf,599,488.0,301.0,335.0,358.0,556.0,735.0,485.0,62.0,4.0,1624.0,552.0,25.0,211.0,75.0,195.0,36.0,114.0,1.08,1256.0,67
197,2019/2020,Eibar,655,561.0,333.0,331.0,427.0,685.0,696.0,442.0,61.0,5.0,2004.0,966.0,24.0,218.0,103.0,196.0,38.0,132.0,1.88,1247.0,56
198,2019/2020,Eint Frankfurt,518,536.0,337.0,351.0,328.0,459.0,833.0,567.0,98.0,6.0,1730.0,646.0,45.0,277.0,127.0,186.0,57.0,170.0,2.22,1228.0,60
199,2019/2020,Espanyol,645,605.0,350.0,363.0,348.0,672.0,674.0,457.0,43.0,2.0,1776.0,725.0,17.0,217.0,86.0,208.0,25.0,120.0,1.02,1191.0,58
200,2019/2020,Everton,511,655.0,398.0,365.0,401.0,750.0,800.0,532.0,67.0,4.0,1915.0,839.0,32.0,285.0,93.0,234.0,42.0,159.0,1.09,1419.0,56
201,2019/2020,Fiorentina,660,566.0,328.0,344.0,343.0,707.0,956.0,666.0,81.0,6.0,1872.0,450.0,30.0,298.0,81.0,241.0,48.0,170.0,1.32,1442.0,48
202,2019/2020,Freiburg,559,430.0,251.0,399.0,352.0,795.0,782.0,516.0,75.0,5.0,1582.0,631.0,27.0,224.0,93.0,203.0,46.0,138.0,1.16,1123.0,47
203,2019/2020,Genoa,799,548.0,333.0,409.0,384.0,762.0,748.0,534.0,78.0,5.0,1789.0,596.0,27.0,289.0,103.0,230.0,46.0,140.0,2.48,1280.0,73
204,2019/2020,Getafe,658,568.0,334.0,367.0,360.0,593.0,677.0,453.0,70.0,7.0,1872.0,900.0,31.0,266.0,123.0,195.0,42.0,121.0,1.48,1179.0,37
205,2019/2020,Granada,633,581.0,347.0,375.0,381.0,728.0,658.0,426.0,83.0,5.0,1682.0,744.0,34.0,176.0,69.0,253.0,50.0,118.0,2.14,1009.0,45
206,2019/2020,Hellas Verona,564,480.0,286.0,356.0,376.0,783.0,759.0,557.0,77.0,7.0,2060.0,688.0,27.0,318.0,70.0,214.0,45.0,146.0,1.59,1550.0,51
207,2019/2020,Hoffenheim,635,521.0,303.0,371.0,338.0,650.0,787.0,528.0,91.0,7.0,1539.0,545.0,36.0,254.0,75.0,212.0,52.0,154.0,3.08,1222.0,53
208,2019/2020,Inter,662,520.0,284.0,368.0,369.0,648.0,1072.0,781.0,135.0,9.0,1815.0,508.0,57.0,398.0,97.0,187.0,80.0,216.0,2.7399999999999998,1813.0,36
209,2019/2020,Juventus,681,538.0,318.0,374.0,369.0,577.0,1204.0,896.0,124.0,13.0,1751.0,426.0,47.0,336.0,70.0,254.0,73.0,224.0,2.84,1746.0,43
210,2019/2020,Lazio,585,545.0,309.0,404.0,378.0,633.0,1028.0,762.0,133.0,10.0,1871.0,447.0,45.0,393.0,103.0,217.0,77.0,204.0,1.93,1667.0,42
211,2019/2020,Leganés,674,603.0,357.0,320.0,418.0,659.0,744.0,504.0,53.0,2.0,1799.0,770.0,19.0,223.0,95.0,239.0,30.0,143.0,1.31,1163.0,51
212,2019/2020,Leicester City,534,736.0,428.0,415.0,413.0,752.0,952.0,690.0,115.0,11.0,2070.0,646.0,47.0,304.0,64.0,311.0,65.0,183.0,1.58,1585.0,41
213,2019/2020,Levante,572,502.0,286.0,317.0,326.0,738.0,737.0,540.0,79.0,6.0,1852.0,488.0,28.0,253.0,75.0,250.0,45.0,133.0,2.2,1352.0,53
214,2019/2020,Leverkusen,489,531.0,334.0,351.0,319.0,459.0,826.0,592.0,105.0,9.0,1903.0,497.0,47.0,246.0,54.0,254.0,57.0,182.0,2.0,1425.0,44
215,2019/2020,Lille,475,410.0,229.0,259.0,266.0,419.0,609.0,408.0,58.0,5.0,1471.0,466.0,25.0,177.0,50.0,213.0,35.0,121.0,1.13,1053.0,27
216,2019/2020,Liverpool,539,549.0,324.0,302.0,351.0,613.0,1037.0,793.0,146.0,10.0,2125.0,645.0,68.0,476.0,93.0,270.0,83.0,224.0,2.69,1938.0,33
217,2019/2020,Lyon,517,492.0,304.0,240.0,309.0,528.0,631.0,448.0,72.0,9.0,1449.0,446.0,29.0,202.0,56.0,237.0,42.0,130.0,1.73,1205.0,27
218,2019/2020,M'Gladbach,500,544.0,318.0,390.0,376.0,578.0,819.0,583.0,114.0,10.0,1779.0,537.0,53.0,275.0,55.0,250.0,64.0,187.0,1.83,1295.0,40
219,2019/2020,Mainz 05,509,564.0,325.0,392.0,358.0,699.0,789.0,547.0,75.0,9.0,1711.0,588.0,34.0,229.0,65.0,232.0,42.0,139.0,1.29,1136.0,65
220,2019/2020,Mallorca,605,542.0,336.0,355.0,366.0,655.0,731.0,502.0,64.0,6.0,1817.0,615.0,21.0,209.0,72.0,314.0,39.0,118.0,0.8700000000000001,1201.0,65
221,2019/2020,Manchester City,556,512.0,299.0,292.0,349.0,478.0,1350.0,1034.0,172.0,16.0,1908.0,502.0,69.0,553.0,89.0,235.0,100.0,250.0,1.8,2460.0,35
222,2019/2020,Manchester Utd,584,577.0,331.0,355.0,370.0,683.0,970.0,760.0,112.0,7.0,2024.0,539.0,43.0,338.0,50.0,298.0,65.0,201.0,1.4200000000000002,1772.0,36
223,2019/2020,Marseille,482,561.0,324.0,264.0,311.0,531.0,634.0,424.0,63.0,5.0,1432.0,466.0,28.0,175.0,47.0,193.0,38.0,115.0,1.02,1104.0,29
224,2019/2020,Metz,494,523.0,336.0,287.0,308.0,615.0,532.0,370.0,44.0,6.0,1451.0,445.0,19.0,125.0,39.0,224.0,27.0,96.0,1.0,836.0,35
225,2019/2020,Monaco,576,476.0,290.0,240.0,264.0,461.0,658.0,455.0,75.0,5.0,1406.0,381.0,29.0,230.0,52.0,192.0,44.0,135.0,1.1400000000000001,1243.0,44
226,2019/2020,Montpellier,558,441.0,282.0,218.0,305.0,504.0,607.0,411.0,57.0,2.0,1552.0,599.0,19.0,174.0,59.0,224.0,33.0,112.0,0.93,1101.0,34
227,2019/2020,Nantes,578,533.0,338.0,212.0,302.0,491.0,580.0,405.0,40.0,4.0,1576.0,450.0,16.0,151.0,38.0,237.0,23.0,112.0,1.03,1025.0,31
228,2019/2020,Napoli,610,487.0,295.0,321.0,329.0,455.0,1240.0,980.0,103.0,3.0,1896.0,378.0,45.0,414.0,86.0,225.0,60.0,225.0,2.24,2024.0,50
229,2019/2020,Newcastle Utd,614,579.0,343.0,388.0,377.0,955.0,689.0,477.0,62.0,4.0,1781.0,712.0,29.0,177.0,60.0,270.0,38.0,132.0,3.72,806.0,58
230,2019/2020,Nice,566,463.0,273.0,277.0,341.0,461.0,586.0,386.0,71.0,2.0,1392.0,263.0,30.0,163.0,40.0,258.0,41.0,125.0,2.56,1245.0,38
231,2019/2020,Osasuna,646,600.0,353.0,374.0,398.0,684.0,770.0,544.0,73.0,4.0,1987.0,855.0,26.0,267.0,94.0,209.0,46.0,142.0,2.48,1336.0,54
232,2019/2020,Paris S-G,570,476.0,289.0,253.0,253.0,295.0,790.0,602.0,124.0,12.0,1453.0,231.0,51.0,378.0,54.0,268.0,71.0,186.0,2.88,1671.0,24
233,2019/2020,Parma,582,588.0,326.0,413.0,383.0,820.0,788.0,570.0,92.0,10.0,1780.0,525.0,36.0,222.0,52.0,233.0,53.0,145.0,1.74,1181.0,57
234,2019/2020,RB Leipzig,552,612.0,360.0,397.0,363.0,592.0,976.0,721.0,137.0,17.0,1966.0,511.0,57.0,338.0,67.0,232.0,81.0,206.0,2.75,1695.0,37
235,2019/2020,Real Madrid,648,586.0,355.0,367.0,381.0,590.0,1021.0,780.0,125.0,7.0,2038.0,520.0,52.0,400.0,100.0,285.0,69.0,222.0,2.59,1972.0,25
236,2019/2020,Real Sociedad,518,515.0,298.0,331.0,313.0,664.0,733.0,541.0,88.0,4.0,1797.0,786.0,37.0,318.0,78.0,227.0,54.0,139.0,1.35,1552.0,48
237,2019/2020,Reims,474,489.0,323.0,227.0,321.0,496.0,587.0,426.0,45.0,2.0,1446.0,419.0,16.0,173.0,50.0,217.0,26.0,87.0,1.24,1034.0,21
238,2019/2020,Roma,671,490.0,302.0,346.0,396.0,625.0,1129.0,799.0,127.0,9.0,1785.0,521.0,47.0,344.0,79.0,253.0,73.0,198.0,1.9300000000000002,1647.0,51
239,2019/2020,SPAL,759,548.0,324.0,386.0,386.0,721.0,815.0,574.0,45.0,5.0,1646.0,534.0,17.0,221.0,65.0,162.0,27.0,117.0,1.2,1226.0,77
240,2019/2020,Saint-Étienne,633,508.0,317.0,263.0,370.0,461.0,512.0,346.0,51.0,2.0,1492.0,522.0,20.0,144.0,42.0,195.0,28.0,97.0,1.19,976.0,45
241,2019/2020,Sampdoria,659,532.0,323.0,371.0,359.0,699.0,870.0,610.0,74.0,3.0,1663.0,530.0,22.0,258.0,96.0,183.0,48.0,155.0,2.88,1162.0,65
242,2019/2020,Sassuolo,594,548.0,327.0,391.0,341.0,639.0,958.0,711.0,116.0,13.0,1757.0,332.0,49.0,292.0,35.0,288.0,69.0,191.0,2.23,1583.0,63
243,2019/2020,Schalke 04,568,558.0,342.0,458.0,393.0,608.0,626.0,423.0,58.0,4.0,1821.0,599.0,25.0,209.0,36.0,264.0,35.0,124.0,1.58,1164.0,58
244,2019/2020,Sevilla,592,585.0,342.0,331.0,346.0,696.0,865.0,630.0,88.0,10.0,2008.0,739.0,34.0,343.0,110.0,250.0,53.0,164.0,1.72,1819.0,34
245,2019/2020,Sheffield Utd,553,595.0,368.0,319.0,408.0,887.0,626.0,454.0,63.0,6.0,1994.0,917.0,25.0,280.0,95.0,187.0,36.0,109.0,1.3800000000000001,1331.0,39
246,2019/2020,Southampton,553,704.0,414.0,487.0,425.0,855.0,836.0,556.0,77.0,15.0,2111.0,792.0,32.0,280.0,70.0,257.0,51.0,171.0,1.4500000000000002,1334.0,60
247,2019/2020,Strasbourg,527,466.0,288.0,193.0,296.0,425.0,558.0,411.0,56.0,3.0,1399.0,500.0,21.0,189.0,68.0,167.0,32.0,105.0,1.62,969.0,32
248,2019/2020,Torino,530,545.0,302.0,404.0,478.0,809.0,774.0,533.0,71.0,5.0,1951.0,683.0,29.0,296.0,135.0,265.0,44.0,144.0,1.96,1203.0,68
249,2019/2020,Tottenham,570,656.0,410.0,437.0,378.0,884.0,773.0,584.0,94.0,13.0,1973.0,630.0,39.0,283.0,47.0,295.0,56.0,154.0,1.87,1396.0,47
250,2019/2020,Toulouse,464,535.0,334.0,248.0,311.0,563.0,540.0,372.0,39.0,2.0,1442.0,455.0,14.0,164.0,57.0,183.0,21.0,90.0,1.03,923.0,58
251,2019/2020,Udinese,514,582.0,331.0,425.0,368.0,757.0,807.0,614.0,58.0,6.0,1790.0,474.0,25.0,272.0,96.0,198.0,37.0,141.0,1.1500000000000001,1248.0,51
252,2019/2020,Union Berlin,641,546.0,321.0,395.0,418.0,772.0,656.0,421.0,66.0,3.0,1833.0,908.0,27.0,181.0,78.0,196.0,38.0,130.0,1.36,937.0,69
254,2019/2020,Valencia,593,489.0,306.0,330.0,349.0,711.0,604.0,439.0,78.0,8.0,1714.0,537.0,33.0,273.0,59.0,196.0,45.0,111.0,2.0,1354.0,53
255,2019/2020,Valladolid,681,566.0,325.0,391.0,389.0,740.0,638.0,447.0,53.0,4.0,1925.0,611.0,19.0,155.0,57.0,231.0,31.0,116.0,1.55,1106.0,43
256,2019/2020,Villarreal,557,546.0,320.0,360.0,336.0,795.0,847.0,628.0,105.0,10.0,1824.0,526.0,38.0,273.0,75.0,259.0,62.0,160.0,2.68,1460.0,49
257,2019/2020,Watford,659,649.0,365.0,393.0,419.0,863.0,725.0,498.0,58.0,3.0,1982.0,822.0,21.0,252.0,69.0,251.0,35.0,112.0,0.91,1162.0,64
258,2019/2020,Werder Bremen,690,548.0,344.0,367.0,417.0,764.0,750.0,532.0,69.0,6.0,1671.0,556.0,30.0,237.0,67.0,210.0,40.0,133.0,1.22,1309.0,69
259,2019/2020,Wolfsburg,545,598.0,363.0,378.0,377.0,636.0,804.0,533.0,80.0,9.0,1937.0,638.0,33.0,238.0,67.0,259.0,48.0,153.0,2.15,1246.0,46
260,2019/2020,Wolves,391,605.0,341.0,348.0,401.0,563.0,775.0,515.0,82.0,9.0,1808.0,717.0,34.0,214.0,82.0,307.0,49.0,142.0,1.34,1257.0,40
261,2020/2021,Alavés,611,488.0,287.0,340.0,424.0,746.0,584.0,368.0,59.0,3.0,1693.0,821.0,21.0,189.0,82.0,213.0,35.0,95.0,1.6900000000000002,932.0,57
262,2020/2021,Angers,603,619.0,372.0,328.0,438.0,617.0,703.0,522.0,66.0,2.0,2031.0,469.0,23.0,219.0,62.0,356.0,40.0,135.0,1.46,1423.0,58
263,2020/2021,Arminia,587,534.0,317.0,381.0,407.0,705.0,529.0,347.0,35.0,4.0,1617.0,729.0,14.0,159.0,48.0,196.0,23.0,100.0,1.62,865.0,52
264,2020/2021,Arsenal,588,454.0,251.0,366.0,350.0,628.0,811.0,621.0,95.0,8.0,1792.0,489.0,38.0,324.0,67.0,239.0,53.0,140.0,1.7,1749.0,39
265,2020/2021,Aston Villa,507,526.0,278.0,437.0,385.0,773.0,935.0,665.0,93.0,4.0,1875.0,717.0,38.0,322.0,76.0,223.0,52.0,178.0,1.3900000000000001,1419.0,46
266,2020/2021,Atalanta,600,595.0,334.0,414.0,508.0,457.0,1104.0,856.0,161.0,10.0,2365.0,609.0,65.0,488.0,85.0,307.0,90.0,221.0,2.48,2057.0,47
267,2020/2021,Athletic Club,640,461.0,269.0,341.0,344.0,677.0,716.0,534.0,73.0,3.0,1800.0,651.0,31.0,283.0,79.0,197.0,43.0,128.0,1.62,1494.0,42
268,2020/2021,Atlético Madrid,580,604.0,355.0,355.0,378.0,650.0,784.0,575.0,116.0,12.0,1879.0,508.0,53.0,363.0,51.0,213.0,65.0,178.0,1.92,1579.0,25
269,2020/2021,Augsburg,509,505.0,306.0,392.0,443.0,834.0,553.0,367.0,55.0,4.0,1737.0,541.0,22.0,180.0,55.0,189.0,35.0,108.0,1.4300000000000002,977.0,54
270,2020/2021,Barcelona,595,499.0,293.0,325.0,361.0,426.0,1063.0,833.0,136.0,12.0,1930.0,395.0,51.0,517.0,52.0,257.0,80.0,231.0,3.51,2156.0,38
271,2020/2021,Bayern Munich,575,506.0,314.0,387.0,393.0,383.0,1028.0,813.0,170.0,13.0,1952.0,419.0,74.0,458.0,110.0,252.0,98.0,219.0,2.29,2058.0,44
272,2020/2021,Betis,593,545.0,307.0,358.0,447.0,658.0,786.0,567.0,90.0,6.0,1855.0,597.0,35.0,297.0,79.0,217.0,50.0,145.0,2.39,1426.0,50
273,2020/2021,Bologna,599,527.0,302.0,441.0,414.0,700.0,849.0,616.0,81.0,1.0,1905.0,547.0,36.0,260.0,60.0,281.0,49.0,175.0,3.1100000000000003,1480.0,65
