,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
281,LaLiga,2021/2022,RCD Mallorca,36,40.61,26.05,63,39.0,Bottom Half
282,LaLiga,2021/2022,CA Osasuna,37,42.02,27.8,51,47.0,Top Half
283,LaLiga,2021/2022,Rayo Vallecano,39,47.05,34.23,50,42.0,Bottom Half
284,LaLiga,2021/2022,Real Betis Balompié,62,55.910000000000004,40.32,40,65.0,Top Half
285,LaLiga,2021/2022,Real Madrid,80,80.26,59.68,31,86.0,Top Half
286,LaLiga,2021/2022,Real Sociedad,40,56.11,36.45,37,62.0,Top Half
287,LaLiga,2021/2022,Sevilla FC,53,46.84,37.42,30,70.0,Top Half
288,LaLiga,2021/2022,Valencia CF,48,42.28,27.98,53,48.0,Top Half
289,LaLiga,2021/2022,Villarreal CF,63,70.34,55.19,37,59.0,Top Half
290,Ligue1,2017/2018,Amiens SC,37,31.48,20.31,42,45.0,Bottom Half
291,Ligue1,2017/2018,Angers SCO,42,46.16,33.88,52,41.0,Bottom Half
292,Ligue1,2017/2018,FC Girondins Bordeaux,53,52.59,37.76,48,55.0,Top Half
293,Ligue1,2017/2018,SM Caen,27,41.18,28.830000000000002,52,38.0,Bottom Half
294,Ligue1,2017/2018,Dijon FCO,55,40.01,28.08,73,48.0,Top Half
295,Ligue1,2017/2018,EA Guingamp,48,41.85,26.990000000000002,59,47.0,Bottom Half
296,Ligue1,2017/2018,LOSC Lille,41,36.17,29.07,67,38.0,Bottom Half
297,Ligue1,2017/2018,Olympique Lyon,87,65.27,45.47,43,78.0,Top Half
298,Ligue1,2017/2018,Olympique Marseille,80,82.18,58.56,47,77.0,Top Half
299,Ligue1,2017/2018,FC Metz,34,36.41,27.54,76,26.0,Bottom Half
300,Ligue1,2017/2018,AS Monaco,85,62.43,43.230000000000004,45,80.0,Top Half
301,Ligue1,2017/2018,Montpellier HSC,36,39.8,30.5,33,51.0,Top Half
302,Ligue1,2017/2018,FC Nantes,36,39.81,28.16,41,52.0,Top Half
303,Ligue1,2017/2018,OGC Nice,53,47.33,29.13,52,54.0,Top Half
304,Ligue1,2017/2018,Paris Saint-Germain,108,89.91,68.29,29,93.0,Top Half
306,Ligue1,2017/2018,AS Saint-Étienne,47,51.019999999999996,34.03,50,55.0,Top Half
307,Ligue1,2017/2018,RC Strasbourg Alsace,44,43.3,28.52,67,38.0,Bottom Half
308,Ligue1,2017/2018,FC Toulouse,38,43.3,27.71,54,37.0,Bottom Half
309,Ligue1,2017/2018,ESTAC Troyes,32,37.16,26.05,59,33.0,Bottom Half
310,Ligue1,2018/2019,Amiens SC,31,34.63,22.73,52,38.0,Bottom Half
